Идентификатор,Наименование,Подгруппа,Группа мер,Парируемые способы реализации угроз,Парируемые угрозы
ЗИС.19.1,"Защита информации от раскрытия, модификации и навязывания (ввода ложной информации) при ее передаче (подготовке к передаче) по каналам связи, имеющим выход за пределы контролируемой зоны ",ЗИС.19 Защита информации при ее передаче по каналам связи,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра;
СП.17.8 Восстановление аутентификационной информации из сетевого трафика;
СП.17.11 Перехват одноразовых паролей;
СП.17.12 Восстановление пароля из ранее полученной аутентификационной информации ;
СП.7.2 Подключение устройства перехвата в разрыв канала передачи данных;
СП.7.4 Перенаправление трафика;
СП.7.6 Врезка в линию связи считывающего устройства не вразрыв (физическое подключение к проводам);
СП.7.1 Прослушивание интерфейсов сети;
СП.3.1 Эксплуатация недостатков незащищенных протоколов передачи данных;
СП.7.5 Прослушивание широковещательного трафика;
СП.22.16 Получение чувствительной информации со страниц веб-приложения или из ответов сервера","УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.20.1,"Обеспечение доверенных маршрутов передачи данных между администратором (пользователем) и средствами защиты информации (функциями безопасности средств защиты информации), определяемыми оператором","ЗИС.20 Обеспечение доверенных канала, маршрута",ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.21.1,"Запрет несанкционированной удаленной активации видеокамер, микрофонов и иных периферийных устройств, которые могут активироваться удаленно, и оповещение пользователей об активации таких устройств, в том числе путем сигнализации, индикации",ЗИС.21 Запрет несанкционированной удаленной активации периферийных устройств,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.12.4 Снятие изображения с веб-камеры;
СП.12.7 Снятие звука с микрофона",УБИ.1 Угроза утечки информации
ЗИС.22.1,"Передача, сопоставление (сравнение) атрибутов безопасности (меток безопасности) с информацией, которой она обменивается с иными (внешними) информационными системами ",ЗИС.22 Управление атрибутами безопасности при взаимодействии с иными информационными (автоматизированными) системами,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.3.2 Эксплуатация недостатков, децентрализованного и неконтролируемого подключения к сети Интернет","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.23.1,Определение перечня мобильного кода и технологий мобильного кода разрешенных и (или) запрещенных для использования в информационной системе,ЗИС.23 Контроль использования мобильного кода,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.3 Атаки на смарт-контракты;
СП.13.2 Атаки через социальные сети;
СП.13.3 Веб-фишинг","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.23.2,"Определение разрешенных мест распространения (серверы информационной системы) и использования мобильного кода (автоматизированные рабочие места, мобильные технические средства информационной системы) и функций информационной системы, для которых необходимо применение технологии мобильного кода",ЗИС.23 Контроль использования мобильного кода,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.3 Атаки на смарт-контракты;
СП.13.2 Атаки через социальные сети;
СП.13.3 Веб-фишинг","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.23.3,"Регистрация и анализ событий, связанных с разработкой, приобретением или внедрением технологии мобильного кода",ЗИС.23 Контроль использования мобильного кода,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.3 Атаки на смарт-контракты;
СП.13.2 Атаки через социальные сети;
СП.13.3 Веб-фишинг","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.23.4,"Исключение возможности использования запрещенного мобильного кода в информационной системе, а также внедрение мобильного кода в местах, не разрешенных для его установки",ЗИС.23 Контроль использования мобильного кода,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.3 Атаки на смарт-контракты;
СП.13.2 Атаки через социальные сети;
СП.13.3 Веб-фишинг","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.24.1,Определение перечня технологий (сервисов) передачи речи разрешенных и (или) запрещенных для использования в информационной системе ,ЗИС.24 Контроль передачи речевой информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,СП.12.7 Снятие звука с микрофона,УБИ.1 Угроза утечки информации
ЗИС.24.2,"Определение субъектов доступа (категорий пользователей), которым разрешены разработка, приобретение или внедрение технологий передачи речи в соответствии с установленными ролями ",ЗИС.24 Контроль передачи речевой информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,СП.12.7 Снятие звука с микрофона,УБИ.1 Угроза утечки информации
ЗИС.24.3,"Реализация параметров настройки, исключающих возможность удаленной конфигурации устройств передачи речи ",ЗИС.24 Контроль передачи речевой информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,СП.12.7 Снятие звука с микрофона,УБИ.1 Угроза утечки информации
ЗИС.24.4,"Регистрация и анализ событий, связанных с разработкой, приобретением и внедрением технологий передачи речи ",ЗИС.24 Контроль передачи речевой информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,СП.12.7 Снятие звука с микрофона,УБИ.1 Угроза утечки информации
ЗИС.24.5," Исключение возможности использования запрещенной технологии передачи речи в информационной системе, а также разработки, приобретения и внедрения технологий передачи речи субъектам доступа (пользователям), которым не разрешено ее использование ",ЗИС.24 Контроль передачи речевой информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,СП.12.7 Снятие звука с микрофона,УБИ.1 Угроза утечки информации
ЗИС.25.1,Определение перечня технологий (сервисов) передачи видеоинформации разрешенных и (или) запрещенных для использования в информационной системе ,ЗИС.25 Контроль передачи видеоинформации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,СП.12.4 Снятие изображения с веб-камеры,УБИ.1 Угроза утечки информации
ЗИС.25.2,"Определение субъектов доступа (категорий пользователей), которым разрешены разработка, приобретение или внедрение технологий передачи видеоинформации в соответствии с установленными ролями ",ЗИС.25 Контроль передачи видеоинформации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,СП.12.4 Снятие изображения с веб-камеры,УБИ.1 Угроза утечки информации
ЗИС.25.3,"Реализация параметров настройки, исключающих возможность удаленной конфигурации устройств передачи видеоинформации ",ЗИС.25 Контроль передачи видеоинформации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,СП.12.4 Снятие изображения с веб-камеры,УБИ.1 Угроза утечки информации
ЗИС.25.4,"Регистрация и анализ событий, связанных с разработкой, приобретением и внедрением технологий передачи видеоинформации ",ЗИС.25 Контроль передачи видеоинформации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,СП.12.4 Снятие изображения с веб-камеры,УБИ.1 Угроза утечки информации
ЗИС.25.5,"Исключение возможности использования запрещенной технологии передачи видеоинформации в информационной системе, а также разработки, приобретения и внедрения технологий передачи видеоинформации субъектов доступа (пользователям), которым не разрешено ее использование",ЗИС.25 Контроль передачи видеоинформации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,СП.12.4 Снятие изображения с веб-камеры,УБИ.1 Угроза утечки информации
ЗИС.26.1,"Аутентификация сервера, являющегося источником ответов на запросы (сервер доменных имен или DNS\002сервер) по определению сетевых адресов (IP-адресов) по сетевым именам (доменные имена) ",ЗИС.26 Подтверждение происхождения источника информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.26.4 Удаление (изменение, шифрование) данных в системе резервирования;
СП.4.6 Внедрение вредоносного программного обеспечения через средства установки/обновления программного обеспечения;
СП.4.10 Внедрение вредоносного программного обеспечения через скомпрометированные обновления программного обеспечения или операционной системы;
СП.4.11 Внедрение вредоносного ПО через компрометацию инфраструктуры подрядчика, среды сборки разработчика (подрядчика) и (или) службы технической поддержки;
СП.26.5 Внедрение вредоносного ПО через компрометацию инфраструктуры системы хранения данных;
СП.26.1 Воздействие на поставщика услуг системы хранения данных;
СП.26.2 Анализ временных задержек операций с зашифрованными данными сервера системы хранения данных;
СП.26.6 Использование недостатков, связанных с невозможностью удаления информации с сервера хранения данных;
СП.26.3 Снижение качеств обслуживания в результате атак на системы хранения данных;
СП.14.10 Распределенная атака типа ""отказ в обслуживании"" с использованием усиливающих механизмов;
СП.2.3 Использование недостатков, связанных с отсутствием проверки достоверности отправителя и/или получателя;
СП.22.21 Заражение кеша","УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.26.2," Аутентификация сервера, являющегося источником ответов на запросы (кэширующийDNS-сервер) по определению сетевых имен (доменных имен) по сетевым адресам (IP-адресам) ",ЗИС.26 Подтверждение происхождения источника информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.26.4 Удаление (изменение, шифрование) данных в системе резервирования;
СП.4.6 Внедрение вредоносного программного обеспечения через средства установки/обновления программного обеспечения;
СП.4.10 Внедрение вредоносного программного обеспечения через скомпрометированные обновления программного обеспечения или операционной системы;
СП.4.11 Внедрение вредоносного ПО через компрометацию инфраструктуры подрядчика, среды сборки разработчика (подрядчика) и (или) службы технической поддержки;
СП.26.5 Внедрение вредоносного ПО через компрометацию инфраструктуры системы хранения данных;
СП.26.1 Воздействие на поставщика услуг системы хранения данных;
СП.26.2 Анализ временных задержек операций с зашифрованными данными сервера системы хранения данных;
СП.26.6 Использование недостатков, связанных с невозможностью удаления информации с сервера хранения данных;
СП.26.3 Снижение качеств обслуживания в результате атак на системы хранения данных;
СП.14.10 Распределенная атака типа ""отказ в обслуживании"" с использованием усиливающих механизмов;
СП.2.3 Использование недостатков, связанных с отсутствием проверки достоверности отправителя и/или получателя;
СП.22.21 Заражение кеша","УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.27.1,"Обеспечение подлинности сетевых соединений (сеансов взаимодействия), в том числе для защиты от подмены сетевых устройств и сервисов (защита от атак типа «человек посередине»)",ЗИС.27 Обеспечение подлинности сетевых соединений,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра;
СП.26.4 Удаление (изменение, шифрование) данных в системе резервирования;
СП.22.31 Использование недостатков механизма завершения сессии;
СП.26.3 Снижение качеств обслуживания в результате атак на системы хранения данных;
СП.2.3 Использование недостатков, связанных с отсутствием проверки достоверности отправителя и/или получателя;
СП.10.1 Атака типа ""человек посередине"" через HTTP-запросы;
СП.10.2 Атака типа ""человек посередине"" через TLS/SSL-запросы;
СП.10.3 Атака типа ""человек посередине"" через DNS-сервер;
СП.10.4 Атака типа ""человек посередине"" путем создания поддельной точки доступа;
СП.10.5 Атака типа ""человек посередине"" путем навязывания использования поддельного Proxy-сервера;
СП.10.6 Атака типа человек посередине путем подмены ответов на широковещательные запросы разрешения сетевых имен (LLMNR, mDNS, NetBIOS);
СП.10.7 Атаки на уровне каналов и сети, приводящие к изменению маршрутов","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов"
ЗИС.28.1,"Определение объектов или типов информации, для которых требуется обеспечение неотказуемости отправки (например, сообщения электронной почты ",ЗИС.28 Исключение возможности отрицания отправки информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.4.1 Внедрение вредоносного программного обеспечения через электронную почту;
СП.2.3 Использование недостатков, связанных с отсутствием проверки достоверности отправителя и/или получателя","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.28.2,Обеспечение целостности информации при ее подготовке к передаче и непосредственной ее передаче по каналам связи ,ЗИС.28 Исключение возможности отрицания отправки информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,Данные уточняются,Данные уточняются
ЗИС.28.3,"Регистрация событий, связанных с отправкой информации другому пользователю ",ЗИС.28 Исключение возможности отрицания отправки информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.2.3 Использование недостатков, связанных с отсутствием проверки достоверности отправителя и/или получателя","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.29.1,"Определение объектов или типов информации, для которых требуется обеспечение неотказуемости получения (сообщения электронной почты) ",ЗИС.29 Исключение возможности отрицания получения информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.4.1 Внедрение вредоносного программного обеспечения через электронную почту;
СП.2.3 Использование недостатков, связанных с отсутствием проверки достоверности отправителя и/или получателя","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.29.2,Обеспечение целостности полученной информации,ЗИС.29 Исключение возможности отрицания получения информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,Данные уточняются,Данные уточняются
ЗИС.29.3,"Регистрация событий, связанных с получением информации от другого пользователя ",ЗИС.29 Исключение возможности отрицания получения информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.2.3 Использование недостатков, связанных с отсутствием проверки достоверности отправителя и/или получателя","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.30.1,"Применение устройств терминального доступа, обладающих минимальными функциональными возможностями по обработке и хранению информации ",ЗИС.30 Использование устройств терминального доступа,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,Данные уточняются,Данные уточняются
ЗИС.31.1,"Выявление и анализ скрытых каналов передачи информации для определения параметров передачи информации, которые могут использоваться для скрытого хранения информации и скрытой передачи информации за пределы информационной системы",ЗИС.31 Защита от скрытых каналов передачи информации,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.12.6 Снятие информации выводимой на печать;
СП.12.1 Считывание нажатий клавиш на клавиатуре;
СП.12.2 Снятие видео с экрана;
СП.12.3 Снятие изображение с монитора;
СП.12.4 Снятие изображения с веб-камеры;
СП.12.7 Снятие звука с микрофона;
СП.11.6 Реализация своего сетевого стека (аналог TCP/IP);
СП.11.5 Туннелирование путем инкапсуляции в другие протоколы (dns, smb);
СП.2.3 Использование недостатков, связанных с отсутствием проверки достоверности отправителя и/или получателя;
СП.11.1 Применение скрытых каналов по времени;
СП.11.2 Применение скрытых каналов по памяти;
СП.11.3 Применение скрытых каналов, организованных через подключаемый носитель;
СП.11.4 Туннелирование с использованием стандартных протоколов (ssh, ipsec)","УБИ.1 Угроза утечки информации;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.10 Угроза распространения противоправной информации"
ЗИС.32.1,"Ограничение на использование в информационной системе беспроводных соединений (в частности 802.11хWi-Fi, 802.15.1 Bluetooth, 802.22WRAN, IrDA и иных беспроводных соединений) в соответствии с задачами (функциями) информационной системы, для решения которых такие соединения необходимы",ЗИС.32 Защита беспроводных соединений,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.2.9 Использование недостатков конфигурации, связанных с отсутствием проверки сертификата сети (для беспроводных сетей)","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ЗИС.32.2,"Предоставление доступа к параметрам(изменению параметров) настройки беспроводных соединений только администраторам информационной системы; обеспечение возможности реализации беспроводных соединений только через контролируемые интерфейсы (в том числе, путем применения средств защиты информации)",ЗИС.32 Защита беспроводных соединений,ЗИС Защита информационной (автоматизированной) системы и ее компонентов,"СП.2.9 Использование недостатков конфигурации, связанных с отсутствием проверки сертификата сети (для беспроводных сетей)","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
